,Year,Braut,tegund_nams,kk,kv,samtals_utt
339,2009,Guðfræði- og trúarbragðafræðideild,,6,10,16
340,2009,Guðfræði- og trúarbragðafræðideild,Grunnnám,6,8,14
341,2009,Guðfræði- og trúarbragðafræðideild,Viðbótarnám,0,2,2
342,2009,Guðfræði- og trúarbragðafræðideild,Meistarapróf,0,0,0
343,2009,Guðfræði- og trúarbragðafræðideild,Doktorspróf,0,0,0
344,2009,Íslensku- og menningardeild,,26,88,114
345,2009,Íslensku- og menningardeild,Grunnnám,15,62,77
346,2009,Íslensku- og menningardeild,Viðbótarnám,0,1,1
347,2009,Íslensku- og menningardeild,Meistarapróf,10,24,34
348,2009,Íslensku- og menningardeild,Doktorspróf,1,1,2
349,2009,Sagnfræði- og heimspekideild,,40,33,57
350,2009,Sagnfræði- og heimspekideild,Grunnnám,32,19,35
351,2009,Sagnfræði- og heimspekideild,Viðbótarnám,0,0,0
352,2009,Sagnfræði- og heimspekideild,Meistarapróf,8,13,21
353,2009,Sagnfræði- og heimspekideild,Doktorspróf,0,1,1
354,2009,"Íþrótta-, tómstunda- og þroskaþjálfadeild",,27,95,122
355,2009,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Grunnnám,15,59,74
356,2009,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Viðbótarnám,2,14,16
357,2009,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Meistarapróf,10,22,32
358,2009,"Íþrótta-, tómstunda- og þroskaþjálfadeild",Doktorspróf,0,0,0
359,2009,Kennaradeild,,44,297,341
360,2009,Kennaradeild,Grunnnám,18,201,219
361,2009,Kennaradeild,Viðbótarnám,23,79,102
362,2009,Kennaradeild,Meistarapróf,3,17,20
363,2009,Kennaradeild,Doktorspróf,0,0,0
364,2009,Uppeldis- og menntunarfræðideild,,9,83,92
365,2009,Uppeldis- og menntunarfræðideild,Grunnnám,7,46,53
366,2009,Uppeldis- og menntunarfræðideild,Viðbótarnám,0,3,3
367,2009,Uppeldis- og menntunarfræðideild,Meistarapróf,2,33,35
368,2009,Uppeldis- og menntunarfræðideild,Doktorspróf,0,1,1
369,2009,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",,69,43,112
370,2009,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Grunnnám,39,15,54
371,2009,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Viðbótarnám,0,0,0
372,2009,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Meistarapróf,30,28,58
373,2009,"Iðnaðarverkfræði-, vélaverkfræði- og tölvunarfræðideild",Doktorspróf,0,0,0
374,2009,Jarðvísindadeild,,9,16,25
375,2009,Jarðvísindadeild,Grunnnám,2,7,9
376,2009,Jarðvísindadeild,Viðbótarnám,0,3,3
377,2009,Jarðvísindadeild,Meistarapróf,7,3,10
378,2009,Jarðvísindadeild,Doktorspróf,0,3,3
379,2009,Líf- og umhverfisvísindadeild,,20,46,66
380,2009,Líf- og umhverfisvísindadeild,Grunnnám,15,43,58
381,2009,Líf- og umhverfisvísindadeild,Viðbótarnám,1,0,1
382,2009,Líf- og umhverfisvísindadeild,Meistarapróf,4,2,6
383,2009,Líf- og umhverfisvísindadeild,Doktorspróf,0,1,1
384,2009,Umhverfis- og auðlindafræði,,1,5,6
385,2009,Umhverfis- og auðlindafræði,Grunnnám,0,0,0
386,2009,Umhverfis- og auðlindafræði,Viðbótarnám,0,0,0
387,2009,Umhverfis- og auðlindafræði,Meistarapróf,1,5,6
388,2009,Umhverfis- og auðlindafræði,Doktorspróf,0,0,0
389,2009,Rafmagns- og tölvuverkfræðideild,,17,2,19
390,2009,Rafmagns- og tölvuverkfræðideild,Grunnnám,15,2,17
391,2009,Rafmagns- og tölvuverkfræðideild,Viðbótarnám,0,0,0
392,2009,Rafmagns- og tölvuverkfræðideild,Meistarapróf,2,0,2
393,2009,Rafmagns- og tölvuverkfræðideild,Doktorspróf,0,0,0
394,2009,Raunvísindadeild,,33,12,45
395,2009,Raunvísindadeild,Grunnnám,24,12,36
396,2009,Raunvísindadeild,Viðbótarnám,0,0,0
397,2009,Raunvísindadeild,Meistarapróf,6,0,6
398,2009,Raunvísindadeild,Doktorspróf,3,0,3
399,2009,Umhverfis- og byggingaverkfræðideild,,19,10,29
400,2009,Umhverfis- og byggingaverkfræðideild,Grunnnám,14,8,22
401,2009,Umhverfis- og byggingaverkfræðideild,Viðbótarnám,0,0,0
402,2009,Umhverfis- og byggingaverkfræðideild,Meistarapróf,5,2,7
403,2009,Umhverfis- og byggingaverkfræðideild,Doktorspróf,0,0,0
404,2010,Félags- og mannvísindadeild,,29,177,206
405,2010,Félags- og mannvísindadeild,Grunnnám,11,66,77
406,2010,Félags- og mannvísindadeild,Viðbótarnám,6,66,72
407,2010,Félags- og mannvísindadeild,Meistarapróf,12,45,57
408,2010,Félags- og mannvísindadeild,Doktorspróf,0,0,0
409,2010,Félagsráðgjafardeild,,8,91,99
410,2010,Félagsráðgjafardeild,Grunnnám,6,53,59
411,2010,Félagsráðgjafardeild,Viðbótarnám,2,17,19
412,2010,Félagsráðgjafardeild,Meistarapróf,0,21,21
413,2010,Félagsráðgjafardeild,Doktorspróf,0,0,0
414,2010,Hagfræðideild,,39,27,66
415,2010,Hagfræðideild,Grunnnám,20,15,35
416,2010,Hagfræðideild,Viðbótarnám,0,1,1
417,2010,Hagfræðideild,Meistarapróf,19,11,30
418,2010,Hagfræðideild,Doktorspróf,0,0,0
419,2010,Lagadeild,,78,87,165
420,2010,Lagadeild,Grunnnám,38,32,70
421,2010,Lagadeild,Viðbótarnám,0,1,1
422,2010,Lagadeild,Meistarapróf,40,54,94
423,2010,Lagadeild,Doktorspróf,0,0,0
424,2010,Stjórnmálafræðideild,,51,66,117
425,2010,Stjórnmálafræðideild,Grunnnám,26,20,46
426,2010,Stjórnmálafræðideild,Viðbótarnám,11,27,38
