,Year,Braut,tegund_nams,kk,kv,samtals_inn
412,2010,Lyfjafræðideild,Viðbótarnám,0,0,0
413,2010,Lyfjafræðideild,Meistarapróf,10,37,47
414,2010,Lyfjafræðideild,Doktorspróf,4,10,14
415,2010,Læknadeild,,164,317,481
416,2010,Læknadeild,Grunnnám,125,212,337
417,2010,Læknadeild,Viðbótarnám,0,19,19
418,2010,Læknadeild,Meistarapróf,21,58,79
419,2010,Læknadeild,Doktorspróf,18,28,46
420,2010,Matvæla- og næringarfræðideild,,15,52,67
421,2010,Matvæla- og næringarfræðideild,Grunnnám,6,31,37
422,2010,Matvæla- og næringarfræðideild,Viðbótarnám,0,0,0
423,2010,Matvæla- og næringarfræðideild,Meistarapróf,5,15,20
424,2010,Matvæla- og næringarfræðideild,Doktorspróf,4,6,10
425,2010,Sálfræðideild,,97,300,397
426,2010,Sálfræðideild,Grunnnám,77,231,308
427,2010,Sálfræðideild,Viðbótarnám,0,0,0
428,2010,Sálfræðideild,Meistarapróf,19,66,85
